author,sum_art
Ming-Chien Shan,5
Banu Özden,7
Stavros Christodoulakis,12
Larry Kerschberg,14
T. K. Rengarajan,7
Lucien A. Dimino,3
Lee A. Hollaar,3
Abraham Bernstein,3
Chrysanthos Dellarocas,6
Thomas W. Malone,7
Luc Bouganim,3
Patrick Valduriez,23
Philip J. Smith,7
François Bancilhon,6
Kyu-Young Whang,18
David W. Stemple,8
James P. Callan,4
Il-Yeol Song,7
Surajit Chaudhuri,20
Narain H. Gehani,13
H. V. Jagadish,31
Manish Gupta,8
Kyuseok Shim,8
Hans-Peter Kriegel,14
Thomas Brinkhoff,3
Amit P. Sheth,31
Marek Rusinkiewicz,18
Bipin C. Desai,5
Christos Faloutsos,26
Amar Gupta,11
Stuart E. Madnick,11
Z. Meral Özsoyoglu,18
Gio Wiederhold,26
Virginia E. Ogle,4
Werner Schaad,6
Hans-Jörg Schek,14
Laurent Amsaleg,3
Michael J. Franklin,31
Anthony Tomasic,10
Craig Stanfill,4
Omran A. Bukhres,12
eva Kühn,7
Himawan Gunadhi,4
Arie Segev,43
Erhard Rahm,9
Amihai Motro,10
Raghu Ramakrishnan,33
Divesh Srivastava,16
Max J. Egenhofer,22
W. Bruce Croft,29
Rivka Ladin,3
Mikael Berndtsson,6
Brian Lings,3
Oliver Günther,19
Wolf-Fritz Riekert,6
Maurizio Rafanelli,8
Arie Shoshani,4
Dik Lun Lee,23
Fabrizio L. Ricci,4
Alberto O. Mendelzon,35
Davood Rafiei,5
Azer Bestavros,12
Allen L. Brown Jr.,4
Fatma Ozcan,5
Sena Nural,4
Pinar Koksal,5
Cem Evrendilek,4
Asuman Dogac,19
David S. Reiner,4
Norbert Fuhr,16
Dieter Gawlick,3
Johannes Klein,4
Kenneth Salem,9
Ibrahim Kamel,3
Mary F. Fernández,4
David Maier 0001,18
Gultekin Özsoyoglu,20
Wen-Chi Hou,5
Kuan-Tsae Huang,6
Tak W. Yan,5
Shahram Ghandeharizadeh,21
Renée J. Miller,6
Peter M. Schwarz,4
Philip A. Bernstein,14
Dennis McLeod,11
Panos Vassiliadis,4
Michael Kifer,12
Curtis E. Dyreson,9
Gerard Salton,19
Tore Risch,5
Alfonso F. Cardenas,10
Ricky K. Taira,13
Wesley W. Chu,19
Claudine M. Breant,5
Timothy Griffin,4
Howard Trickey,4
Gail E. Kaiser,38
Dewayne E. Perry,18
Rajeev Motwani,42
Serge Abiteboul,36
Sophie Cluet,12
Tova Milo,13
Jérôme Siméon,3
Gang Zhou,3
Richard Hull 0001,12
Roger King,12
Heiko Schuldt,3
Nabil I. Hachem,5
Matthew O. Ward,3
Marc H. Scholl,4
Son Dao,6
Brad Perry,4
Steve Lawrence,9
Roger Günthör,3
Mohan Kamath,3
Paolo Giulio Franciosa,7
Maurizio Talamo,17
Leana Golubchik,14
John C. S. Lui,15
Richard R. Muntz,28
Peter Schäuble,12
Yungho Leu,5
Thomas D. C. Little,25
C. Y. Roger Chen,23
C. S. Chang,5
P. Bruce Berra,14
Theodore Johnson,29
Hongjun Lu,20
Beng Chin Ooi,21
Catriel Beeri,12
Karl Aberer,5
Klemens Böhm,5
Paris C. Kanellakis,19
Michel Raynal,37
Usama M. Fayyad,20
A. Prasad Sistla,21
Ouri Wolfson,28
Inderpal Singh Mumick,5
Kuo Chi Lee,5
William H. Mansfield,4
Teresa F. Lunt,12
Eduardo B. Fernández,12
S. Kicha Ganapathy,3
Luis Gravano,13
Yannis Papakonstantinou,5
Clarence A. Ellis,6
Craig A. Knoblock,14
Steven Minton,10
Ion Muslea,4
Joel E. Richardson,8
Nick Roussopoulos,22
Alex Delis,11
Udi Manber,17
Peter A. Bigot,6
Thomas Kudrass,4
Jürgen Zimmermann 0003,4
Patrick E. O'Neil,10
Daniel S. Weld,21
Sunil K. Sarin,3
Calton Pu,23
Gunter Schlageter,4
Antoni Olivé,5
Bruce G. Lindsay 0001,8
David M. Hansen,3
William W. Cohen,27
Andrew McCallum,4
Dallan Quass,7
Claudio Bettini,16
Xiaoyang Sean Wang,13
Sushil Jajodia,59
Vijayshankar Raman,5
Mehul A. Shah,3
Shalom Tsur,8
Stanley B. Zdonik,7
Arun N. Swami,7
Weimin Du,6
Charu C. Aggarwal,10
Philip S. Yu,82
Praveen Seshadri,6
Miron Livny,24
