author,sum_art
Toshiro Higuchi,8
Taisuke Sakaki,4
Susumu Tachi,16
Kan Yoneda,8
Shigeo Hirose,33
Sabine Demey,4
Joris De Schutter,14
Tooru Nogai,3
Saburo Matunaga,3
Idaku Ishii,4
Masatoshi Ishikawa,14
Sangchul Won,3
Rolf Johansson,10
Naoshi Kondo,6
Mitsuji Monta,4
Takeshi Tsuchiya,8
Kazuo Machida,7
Shinichi Hirai,5
Fumihito Arai,23
Toshio Fukuda,91
Marina Indri,4
Antonio Tornambè,21
Akio Ishiguro,5
Yoshiki Uchikawa,22
Attawith Sudsang,3
Jean Ponce,21
Narayan Srinivasa,8
Vincent Hayward,8
Zhi Wei Luo,6
Masaki Yamakita,3
Koji Ito,20
Taketoshi Mori,5
Tomomasa Sato,10
Masami Ito,22
Atsuo Kato,4
Carlo Colombo,15
Benedetto Allotta,5
Paolo Dario,11
Ryojun Ikeura,3
Masakatsu G. Fujie,3
Hisato Kobayashi,13
Hiroshi Yokoi,10
Yoshikuni Okawa,4
Chang-De Zhang,5
Shin-Min Song,13
Arthur C. Sanderson,16
Katsuhiko Inagaki,4
Thomas Walle,3
Osamu Matsumoto,4
Shuuji Kajita,5
Vladimir J. Lumelsky,22
Xin-Zhi Zheng,5
Masazumi Katayama,3
Shigeru Okuma,10
Yasushi Yagi,10
Masahiko Yachida,14
Takashi Tsubouchi,7
Shin'ichi Yuta,18
Masaru Uchiyama,27
Yoshihiro Nakamura,3
Satoshi Ito,4
Hideo Yuasa,3
Hendrik Van Brussel,10
Shoichi Maeyama,3
Koichi Suzumori,6
Nobuto Matsuhira,4
Makoto Asakura,3
Antony I. T. Rowstron,3
Andy Hopper,12
Sadao Kawamura,9
Tokuji Okada,5
Kazuo Tsuchiya,4
Ichiro Nakatani,7
Hiroshi Noborio,8
Toshio Morita,3
Shigeki Sugano,11
Chie Kasuga,3
S. Ramachandran,3
Evangelos Papadopoulos,5
H. Benjamin Brown,3
Gary M. Bone,3
Gaurav S. Sukhatme,4
Qiang Huang,3
Jonghoon Park,4
Wan Kyun Chung,11
Youngil Youm,9
Zhihua Qu,19
Keigo Watanabe,32
Kiyotaka Izumi,16
Fuhua Han,3
Tsuneo Yoshikawa,17
Yoshihiko Nakamura,7
Yasuyoshi Yokokohji,5
Jan De Geeter,4
Herman Bruyninckx,9
Kyoung Chul Koh,3
Hyung Suck Cho,29
Stefano Chiaverini,14
Olav Egeland,9
Shigemi Nagata,4
R. Andrew Russell,8
Kazuo Kiguchi,8
Michihiro Uenohara,3
Hirofumi Miura,8
Isao Shimoyama,13
Naoyuki Kubota,10
Takemasa Arakawa,4
Minoru Asada,29
Hajime Asama,26
Ahmad Hemami,11
Nobuhiro Iguchi,8
Toshio Kawashima,6
Yoshinao Aoki,7
Koji Yoshida,4
Hirokazu Mayeda,3
Toshiro Ono,4
Hirohiko Arai,10
Martin Buss,4
Takashi Suehiro,5
Yong-San Yoon,7
Shinji Wakui,3
Tsutomu Mita,7
Tsutomu Hasegawa,9
Atsuo Kawamura,11
Kianoush Azarm,3
Ralf Gutsche,3
Friedrich M. Wahl,12
Marco Ceccarelli,9
Mutsumi Watanabe,3
Jun Ota,10
Tamio Arai,15
Gerd Hirzinger,17
Masayuki Inaba,11
Teruo Fujii,12
Claudio Melchiorri,10
Gen Endo,3
Hiroshi Ishiguro,6
Saburo Tsuji,17
Yoichiro Maeda,7
Martial Hebert,17
Fumio Kanehiro,4
Satoshi Kagami,5
Hirochika Inoue,9
Ahmed Rachid,4
Stanley C. Ahalt,17
David E. Orin,17
Dragomir N. Nenchev,12
Kazuya Yoshida,9
Kenichi Kanatani,15
Kazuhiro Kosuge,14
Minoru Ito,11
Kenji Doya,6
Moëz Cherif,3
Takayuki Nakamura,4
Toshiyuki Murakami,6
Kouhei Ohnishi,9
Makoto Kaneko,26
Tatsuya Shirai,3
Kensuke Harada,3
Toshio Tsuji,21
Manuela M. Veloso,29
Peter Stone,15
Jun'ichi Takeno,8
Masatoshi Tokita,3
Toyokazu Mitsuoka,3
Hideo Matsuura,7
Hayato Kaetsu,9
Kuniaki Kawabata,7
Nobuaki Imamura,4
Takashi Watanabe,13
Makoto Sakamoto,5
Kazuo Asakawa,4
J. H. Kim,7
Sang-Rok Oh,8
Oren Masory,5
Jian Wang,11
Hanqi Zhuang,33
Yuichiro Anzai,9
Yasuo Kuniyoshi,12
Toshihiro Matsui,4
Shigeoki Hirai,4
Tetsuro Yabuta,13
Carlos Balaguer,6
Rafael Aracil,5
Antonio Barrientos,4
C. L. Teo,6
Geok Soon Hong,3
Takeshi Furuhashi,23
Mitsuo Nagamachi,4
Antonio Bicchi,16
Nacer K. M'Sirdi,3
Ralf Koeppe,3
Sergej Fatikow,4
Hiroshi Takahashi,9
Eiji Nakano,5
Hideaki Takeda 0001,7
Toyoaki Nishida,12
Satoshi Tadokoro,6
Isao Endo,14
Suguru Arimoto,31
Tomohide Naniwa,9
Yun-Hui Liu,12
Sanjiv Singh,4
Mamoru Minami,3
Toshiyuki Asakura,3
Mohammad Asim Farooqi,3
Toru Omata,6
Philip W. Smith,6
Nagaraj Nandhakumar,15
Keiki Takadama,4
Katsunori Shimohara,6
Shinichi Nakasuka,7
Tomohiro Shibata,3
Stefan Schaal,9
Manukid Parnichkun,3
Moshe Shoham,7
Takeyoshi Dohi,3
Takayuki Yamada,7
Jun Miura,6
Tsugito Maruyama,4
Katsushi Ikeuchi,38
Kohtaro Ohba,4
Yoichi Sato,8
Tzyh Jong Tarn,18
Antal K. Bejczy,16
Hiroshi Kobayashi,5
Yoshio Yamamoto,3
Xiaoping Yun,16
Atsuo Takanishi,7
Jin'ichi Yamaguchi,4
Keisuke Kato,3
Tadashi Kitamura,3
Shinya Kotosaka,3
Darren M. Dawson,49
Günther Schmidt,14
Junji Nomura,3
Yoji Yamada,10
Yoji Umetani,4
Katsuhisa Furuta,13
Pierre Dauchez,9
Tomotaka Itoh,3
Ryozo Katoh,4
Carl D. Crane III,5
Dan Halperin,25
Nuio Tsuchida,4
Koji Imai,3
Maurizio Piaggio,4
Renato Zaccaria,9
Spyros G. Tzafestas,48
Nasrollah Moghaddam Charkari,3
Hideo Mori,10
Dong Hyun Kim,3
Woo Young Choi,5
Rae-Hong Park,57
Yuichi Tsumaki,5
Thierry Fraichard,3
Takanori Shibata,11
Nobuhiro Kyura,3
Paolo Valigi,6
Yasuhiro Masutani,3
Fumio Miyazaki,10
Huat Kin Low,5
Teresa Zielinska,4
Thomas W. Calvert,4
Koichi Osuka,4
Tatsuya Nakamura,3
Kai Liu,15
Frank L. Lewis,69
Koichi Ozaki,4
Daisuke Kurabayashi,3
Yonghwan Oh,3
Robert D. Howe,7
Vijay Kumar,6
Xinhan Huang,3
Takashi Yasuda,4
Ulrich Rembold,11
Heinz Wörn,4
Sooyong Lee,3
Munsang Kim,3
Chong-Won Lee,6
Bruno Siciliano,21
Hideharu Amano,13
Yutaka Sakaguchi,3
Yoshifumi Nishida,3
Nikos I. Katevas,3
Eiichi Yoshida,10
Hiroaki Kitano,20
Tomoichi Takahashi,4
Itsuki Noda,8
Hitoshi Matsubara,8
Fumitoshi Matsuno,13
Hisashi Osumi,4
Tomoaki Yano,3
Jean-Paul Laumond,11
Shinji Kotani,5
Jean-Pierre Merlet,8
Eugenio Guglielmelli,5
Seiji Ishikawa,5
Kiyoshi Kato,3
Hiroaki Ozaki,3
Ryoichi Hashimoto,8
Toru Kumagai,4
Masakazu Imai,4
Tsukasa Ogasawara,5
Michele Aicardi,3
Giorgio Cannata,5
Giuseppe Casalino,7
Gordon Wyeth,4
Lynne E. Parker,9
Gen-ichiro Kinoshita,3
Gregory S. Chirikjian,14
Alessandro De Luca 0001,11
Giuseppe Oriolo,9
Yasuhisa Hasegawa,5
Di Xiao,4
Bijoy K. Ghosh,7
Ning Xi,10
Takashi Kubota,8
Fumio Harashima,7
Hiroshi Kimura,8
Yutaka J. Kanayama,3
Fariba Fahroo,3
Shugen Ma,7
Hidenori Ishihara,5
Henrik Hautop Lund,5
Makoto Suzuki,5
Masanori Hariyama,7
Michitaka Kameyama,38
Akihiro Matsumoto,3
Walter Schwinn,3
Yoji Kuroda,3
Yasuharu Kunii,6
Viktor S. Ulyanov,7
Kazuo Yamafuji,33
Sergei V. Ulyanov,13
Ludmila V. Litvintseva,8
Ichiro Kurawaki,4
Hidekatsu Tokumaru,3
Toshiro Noritsugu,12
Yoshitsugu Toda,3
Toshiaki Iwata,3
Yasushi Fukuda,3
Mitsuo Wada,21
Sadayoshi Mikami,8
Salvatore Nicosia,6
Yuji Watanabe,3
Wei-Yun Yau,3
Han Wang 0001,15
Andreas Bastian,5
Haruhisa Kurokawa,8
Satoshi Murata,10
Kohji Tomita,7
Shigeru Kokaji,10
Lorenzo Sciavicco,7
Luigi Villani,7
Kikuo Fujimura,14
Sakae Nishiyama,3
Shuji Hashimoto,4
Noriaki Kiyohiro,4
Hideto Ide,58
Yoichi Hori,8
Katsutoshi Kuribayashi,8
Marwan A. Gharaybeh,5
Grigore C. Burdea,14
Joel W. Burdick,17
Shigeyuki Sakane,4
Yoshiaki Shirai,18
Satoshi Komada,6
Kosei Kitagaki,3
Yoshikazu Arai,3
Hirohisa Hirukawa,5
Kan Taguchi,7
Frank Röhrdanz,3
Heiko Mosemann,3
Satoshi Konishi,4
Hiroyuki Fujita,5
Michael Brady 0001,32
Jun Tang,6
Mitsushige Oda,4
Eugénio C. Oliveira,3
Carlos Ramos,6
Shuji Nakata,3
Tatsuo Arai,6
Christian Laugier,5
Haruo Hoshino,4
Alexander Zelinsky,11
Kohji Kamejima,3
Hiroshi Watanabe,6
Sanjiv Kumar,4
Kosuke Sekiyama,4
Giovanna D'Agostino,8
Silvio Valentini,11
Miklós Erdélyi-Szabó,4
Michael Zakharyaschev,15
Hirokazu Nishimura,9
Hiroshi Aoyama,3
Pierre Ille,8
Hanamantagouda P. Sankappanavar,3
Jean E. Rubin,8
Lauri Hella,13
Michal Krynicki,7
Andrea Sorbi,13
Vladimir Kanovei,17
Michiel van Lambalgen,5
Michael Rathjen,17
Steffen Lempp,17
Tapani Hyttinen,20
Carl G. Jockusch Jr.,14
Vasco Brattka,7
Giuseppe Longo,12
Alejandro Fernández-Margarit,3
Michael Reeken,10
Karim Nour,13
David DeVidi,3
Jouko A. Väänänen,14
Victor Pambuccian,6
Christian Delhommé,4
Henryk Kotlarski,16
Zygmunt Ratajczyk,3
Martin Dowd,9
Malika More,4
Douglas S. Bridges,17
Luminita Dediu,3
Mai Gehrke,9
Geoffrey LaForte,6
Olivier Esser,7
Carlos A. Di Prisco,5
James M. Henle,5
Roman Murawski,5
Yasuo Kanai,3
Roland Hinnion,7
Xizhong Zheng,7
Klaus Weihrauch,11
Ivan N. Soskov,5
Aviad Heifetz,3
Athanassios Tzouvaras,11
Matthias Baaz,17
Norbert Brunner,5
Karl Svozil,8
Klaus Denecke,4
Bernhard Banaschewski,8
Heinrich Rolletschek,3
Antonio J. Rodríguez Salas,4
Francisco M. García Olmedo,3
Jeffry L. Hirst,12
Marcel Crabbé,6
Matt Insall,3
Paul E. Howard,12
Adrienne Stanley,3
Marianne Morillon,5
Leopoldo E. Bertossi,6
Anuj Dawar,7
Kees Doets,7
Steven Lindell,5
Scott Weinstein,9
Georg Gottlob,41
Ralf-Dieter Schindler,6
George Georgescu,7
Carlo Toffalori,14
Arthur W. Apter,17
Antonín Sochor,3
Jun Li,6
Stephan Wehner,3
Cristian Calude,24
Lila Santean,5
Fernando Ferreira,7
Frank Wolter,20
Loredana Biacino,5
Giangiacomo Gerla,18
Mingsheng Ying,15
Bhavani M. Thuraisingham,28
Hans-E. Porst,6
Hisato Muraki,3
S. Barry Cooper,7
Josep Maria Font,11
Andrei A. Kuzichev,3
Daniel Dzierzgowski,7
Kosta Dosen,12
John L. Bell,13
Kyriakos Keremedis,15
Gregory L. McColm,12
Erik Palmgren,18
Thomas G. McLaughlin,6
Andrea Cantini,9
Andrzej Orlicki,7
Yuefei Sui,4
Thomas Forster,4
Joseph Barback,3
Volker Halbach,4
Leon Horsten,7
Erich Grädel,19
Eric Rosen,5
Jörg Flum,7
Hans-Dietrich Hecker,5
Akihiro Kanamori,6
Ryo Kashima,6
Michael Deutsch 0001,5
Eugenio G. Omodeo,6
Franco Parlamento,6
Alberto Policriti,18
V. Yu. Shavrukov,6
Jürg Schmid,3
Ruy J. G. B. de Queiroz,15
T. S. E. Maibaum,11
Mohammad Ardeshir,4
Karl-Heinz Diener,5
Pawel Pazdyka,3
Bakhadyr Khoussainov,16
Stanley Burris,10
Dugald Macpherson,13
Charles Steinhorn,5
Wolfgang Rautenberg,6
Valentina S. Harizanov,6
Radim Belohlávek,6
Kazem Taghva,8
André Nies,15
Lawrence Peter Belluce,3
Antonio di Nola,11
Martin Kummer,23
Ferrante Formato,6
Bozena Piekart,4
Rodney G. Downey,46
Richard A. Shore,25
Kazuyuki Tanaka,8
Horst Herrlich,9
Branislav R. Boricic,4
Anand Pillay,33
Akito Tsuboi,7
Anne Preller,5
Marcus Kracht,14
Decheng Ding,6
Klaus Ambos-Spies,12
Franco Montagna,19
Hajime Ishihara,14
Gabriel Sandu,12
Roger D. Maddux,8
V. Michele Abrusci,7
Ivo Düntsch,15
Ewa Orlowska,17
Peter Jipsen,3
Walter Alexandre Carnielli,7
Xiaoding Yi,5
James H. Schmerl,21
Fabio Bellissima,7
Saverio Cittadini,4
Pieter Hendrik Rodenburg,5
Antoni Torrens,6
Youssef Boudabbous,4
Taneli Huuskonen,4
Timothy McNicholl,3
Bernhard Heinemann,5
Michel Hébert,4
Peter Hertling,11
Wim Ruitenburg,5
Eduardo Mizraji,3
Armin Hemmerling,9
Victor L. Selivanov,4
Takahito Aoto 0001,3
Newton C. A. da Costa,12
Maciej Kandulski,3
Richard Kaye,11
Gérard Lopez,3
Makoto Kikuchi,3
Sven Ove Hansson,25
Peter Apostoli,4
Stefano Mazzanti,3
Mitio Takano,4
Andreas Weiermann,20
Wojciech Zielonka,3
Roman Kossak,9
Jordi Rebagliato,4
Ventura Verdú,8
Martin Goldstern,6
Ning Zhong 0002,5
Iain A. Stewart,33
Wilfried Buchholz,6
Narciso García,6
Claudio Cerrato,5
Yoshihiro Abe,3
Stefano Baratella,9
Bruno Poizat,7
Esko Turunen,6
George Weaver,6
Michael Thau,3
Hugues Leblanc,5
Nobu-Yuki Suzuki,8
Vladimir V. Rybakov,13
Domenico Zambella,7
Adam Krawczyk,4
Simon Thomas 0001,10
Salvatore Sessa,12
Christopher J. Ash,16
Julia F. Knight,15
Pierangelo Miglioli,12
Marcus Schaefer,3
Mehmet Terziler,5
Salah Labhalla,6
Henri Lombardi,10
Jerzy Tyszkiewicz,9
Charles G. Morgan,9
Juichi Shinoda,7
Thierry Lacoste,3
Jörg Brendle,9
Giacomo Bonanno,3
Olivier Gasquet,6
Felipe Cucker,21
Lorenz Halbeisen,9
John Case,20
G. Michele Pinna,5
Olga Kosheleva,12
Klaus Nehring,5
Zofia Adamowicz,4
Costas Dimitracopoulos,4
Kyriakos Kontostathis,3
Jeffrey B. Remmel,37
Douglas A. Cenzer,10
John T. Baldwin 0001,15
Benedetto Intrigila,13
Alexander Yakhnis,6
Vladimir Yakhnis,4
Alberto Marcone,3
Daniel Gluschankof,4
Luc Lismont,3
Çigdem Gencer,4
Heinrich Wansing,20
Masahiro Hamano,3
Mitsuhiro Okada,11
J.-M. Brochet,3
Sebastiaan Terwijn,5
Leen Torenvliet,11
Ronald Fagin,27
Olivier Chapuis,4
Silvio Ghilardi,13
Giancarlo Meloni,3
Chris Pollett,3
Paolo Gentilini,7
Piotr Koszmider,4
Alexej P. Pynko,10
Friedrich Otto,26
Daniel E. Cohen,3
Klaus Madlener,10
Marat M. Arslanov,3
Angsheng Li,4
Hajnal Andréka,16
István Németi,22
Alistair H. Lachlan,11
Hernando Gaitán,3
Jan Kuper,3
Manuel Lerman,8
Jan von Plato,5
Matthew Valeriote,6
Wieslaw Szwast,6
Phil Watson,4
Alessandra Carbone,7
Klaus Meer,13
Enshao Shen,3
Cristian S. Calude,5
Gabriel Istrate,11
Marius Zimand,16
Claude Laflamme,9
Tatsuya Shimura,5
Martin Grohe,12
Xiaokang Yu,6
Teodor Stepien,3
Ulrich Huckenbeck,5
Arnold Beckmann,4
Pierre Matet,4
Heike Mildenberger,8
Saharon Shelah,126
Sergio A. Celani,4
Edwin D. Mares,14
Annalisa Marcja,5
Peter D. Holden,5
Antonio Camurri,11
Carlo Innocenti,4
Michael Eisenberg,10
Mitsuru Ishizuka,13
Ian D. Watson,7
Christine W. Chan,9
Paul H. J. Hendriks,5
Agostino Poggi,16
Neil F. Doherty,6
Linda Candy,10
Wullianallur Raghupathi,4
Lawrence L. Schkade,3
Garimella Uma,4
Bandreddi E. Prasad,9
Li Da Xu,7
Yasufumi Takama,6
Masanori Sugimoto,4
Koichi Hori,14
Setsuo Ohsuga,23
Kozo Sugiyama,4
Kazuo Misue,5
Yuji Takada,7
Alex Alves Freitas,4
Paolo Frasconi,16
Marco Gori,27
Giovanni Soda,15
Tolety Siva Perraju,3
Frans Coenen,11
Yasuhiro Yamamoto,3
Andreas Abecker,8
Ansgar Bernardi,4
Michael Sintek,4
Marilyn A. Walker,25
Francis Jack Smith,12
Albert Prat,3
Jesús Lorés,3
Paul Fletcher,3
Josep M. Catot,4
Mohamed S. Kamel,18
Ruth Aylett,6
Paul W. H. Chung,5
Robert Plant,16
Gerald R. Garside,6
Paul C. Rhodes,13
Dawn E. Holmes,3
Richard D. Coyne,4
Issam A. Hamid,3
Armin Bruderlin,4
Siu Cheung Kong,3
Lam For Kwok,3
Huaiqing Wang,14
Lejian Liao,3
Michelle X. Zhou,4
Steven Feiner,20
Michael L. Mavrovouniotis,7
Chris J. Hinde,6
Christopher A. Miller 0001,3
Anupam Basu,9
Arun K. Majumdar,9
Kifah R. Tout,3
Igor Aleksander,6
Ronnie W. Smith,5
Bernard Moulin,16
Daniel Rousseau,4
Willemien Visser,3
Frances M. T. Brazier,13
Pieter H. G. van Langen,5
Jan Treur,24
Xiaohui Liu,8
Georgios I. Doukidis,9
Angel R. Puerta,8
John L. Gordon,3
Peter Ross,6
Hans-Jörg Bullinger,5
Stephen Murrell,5
Amnon Meisels,10
Ehud Gudes,9
Loren G. Terveen,10
Young U. Ryu,9
Elisabeth André,14
Thomas Rist,13
Enn Tyugu,14
Robert Milne,8
Candace L. Sidner,3
David Benyon,14
Dianne Murray,4
Jill Hewitt,3
Robert Inder,3
V. Sridhar,9
M. Narasimha Murty,24
Susan Brennan,3
Dave Robertson,6
Vladimír Marík,5
Yasuyuki Sumi,7
Padraig Cunningham,7
Barry Smyth,5
John Kingston,8
James C. Bezdek,47
Gregory D. Abowd,12
Hai Zhuge,6
Christine Vanoirbeek,3
Nikos I. Karacapilidis,7
Omar Abou Khaled,3
Hiroshi Tsukimoto,3
Alun D. Preece,16
Eddy McDaid,3
Karvel K. Thornber,8
Henry Lieberman,12
Geoffrey I. Webb,13
Alberto Faro,6
Daniela Giordano,6
John A. A. Sillince,21
B. Kumar,7
Niladri Chatterjee,3
Anita Pos,3
Hans Akkermans,9
Arturo Trujillo,8
Yun Seog Yeun,3
Young Soon Yang,3
Elpida T. Keravnou,12
John Washbrook,6
Nigel R. Shadbolt,3
Shoji Tanaka,6
Seiji Inokuchi,11
Ivan Kramosil,16
Erika Rogers,3
Kazushi Nishimoto,5
Kenji Mase,16
Robert St. Amant,6
Jie Zhang 0005,8
Levent V. Orman,13
Cheng-Seen Ho,8
Niek J. E. Wijngaards,5
David D. Woods,14
J. G. Taylor,4
Els Laenens,6
Dirk Vermeir,7
LiMin Fu,14
K. J. MacCallum,4
Tatsuya Akutsu,15
Seung Ryoul Maeng,18
Jung Wan Cho,15
R. Narasimhan,3
W. Liu,8
Li-Chen Fu,12
Leonidas Palios,5
Pedro A. Szekely,3
Christoph G. Thomas,5
Mark T. Maybury,10
Steffen Staab,4
Hans-Peter Schnurr,3
Susan Craw,5
Andrés Gómez de Silva Garza,4
Angela Goh,6
William E. Hefley,5
Mark D. Gross,4
Anders I. Mørch,6
W. Wang,3
Alexander Repenning,9
Takashi Washio,5
Hiroshi Motoda,14
Walter Hower,11
Winfried Graf,8
Sabah Merad Menani,3
R. A. Vingerhoeds,3
Deyi Li,3
Sarabjot S. Anand,7
David A. Bell,30
Patrick Brézillon,11
Martin Staudt 0001,8
Tim Smithers,6
Ming Xi Tang,5
Eric Tsui,3
Ioannis P. Vlahavas,16
Ioannis Stamelos,3
Alexis Tsoukiàs,7
Selahattin Kuru,5
Frank Maurer,19
Masoud Saeedi,3
P. G. Reddy,3
Nikola K. Kasabov,17
Simon H. Lavington,5
C. Wang,4
Yasuji Sawada,3
Goutam Chakraborty,10
Zijian Zheng,7
Trevor J. M. Bench-Capon,24
Brian J. Garner,4
J. Stuart Aitken,4
Lam-for Kwok,5
Sheung-lun Hung,12
Samuel Pierre,10
Hirohiko Sagawa,4
Masaru Ohki,5
G. P. Fletcher,3
James G. Schmolze,3
Wayne Snyder,8
Ann Macintosh,4
David W. Aha,8
Brian R. Gaines,22
Michael J. R. Shave,5
M. Howard Williams,20
Kam-Fai Wong,11
Alex H. B. Duffy,14
Yu Cheng,4
Anthony Jameson,8
Ralph Schäfer,8
Thomas Weis,4
Chen Wang,7
Rudy Setiono,26
Wee Kheng Leow,6
Ian F. C. Smith,9
Heather Watson,4
Raman Chandrasekar,3
Bangalore Srinivas,11
Grigoris Antoniou,31
Ipke Wachsmuth,9
David W. Opitz,6
Jude W. Shavlik,20
Rajeev Kaula,3
David Robertson,7
Nikolaos M. Avouris,5
Huan Liu 0001,12
David McSherry,6
Ning Zhong 0001,5
Daniel Salber,3
Valerie Barr,3
Bonnie Rubenstein-Montano,3
Michael Imhoff,3
Ching Y. Suen,69
Miroslav Kubat,20
Dong-Tsan Lee,3
P. M. Wognum,4
Rachel M. Jones,3
Dianxiang Xu,8
Enrique Cortes-Rello,3
Li D. Xu,4
John F. Sowa,6
Ken Eason,4
M. Sasikumar,3
Adelheit Stein,4
Elisabeth Maier,4
Alex Bykat,4
Erik Hollnagel,10
Robert T. H. Chi,5
Melody Y. Kiang,8
James L. Alty,8
Debbie Richards,3
Paul Compton,8
Susumu Kunifuji,3
Kwong-Sak Leung,27
Man Leung Wong,8
Richard Coyne,3
Radim Jirousek,4
Irma Becerra-Fernandez,3
Joachim Diederich,4
Alan B. Tickle,3
Vaclav Dvorak,3
Edmund K. Burke,7
Bart L. MacCarthy,4
Ranjit Bose,3
James C. Lester,5
Hing-Yan Lee,5
Chris J. Price,4
Kristina Höök,5
Michael Smyth,4
Divine T. Ndumu,7
R. R. Bakker,3
David W. Cheung,3
Ben Kao,10
Hilary Johnson,3
M. P. Reddy,4
Jugal K. Kalita,3
Paul R. Cohen,20
Natalia Juristo Juzgado,12
Emmanuel C. Ifeachor,6
D. J. Mapps,3
Simon Y. Foo,5
Susan M. Haller,5
Douglas B. Moran,4
Adam Cheyer,4
Robin D. Burke,3
Du Zhang,7
Hans-Ludwig Hausen,5
Tuomo Tuikka,3
Partha Niyogi,6
Kah Kay Sung,3
Farzin Deravi,3
H. Altay Güvenir,12
W. A. Gray,4
Zhan Cui,3
Chengqi Zhang,14
Robert Levinson,13
Gerard Ellis,4
Letha H. Etzkorn,7
Carl G. Davis,7
Peter J. F. Lucas,8
Changhwan Lee,4
Andrea Bonarini,9
Vittorio Maniezzo,14
Paul A. Booth,4
Thambipillai Srikanthan,6
Gee-Swee Poo,17
Boon-Ping Chai,5
Chi-Chun Lo,7
Hung-Min Sun,13
Makoto Takizawa 0001,4
Olivier Bonaventure,5
Espen Klovning,3
André A. S. Danthine,5
Chi Chung Ko,13
W. C. Wong,4
Kin Mun Lye,11
Georgios I. Papadimitriou,17
Dimitris G. Maritsas,6
D. Mouzakis,3
E. G. Economou,8
George Philokyprou,6
Oliver C. Ibe,9
Xian Cheng,3
Guojun Lu,11
Guevara Noubir,4
Hartmut Weik,3
Jung-Shyr Wu,13
Fang-Jang Kuo,5
Debashis Saha,11
Amitava Mukherjee,10
Andrea Borella,3
Giovanni Cancellieri,4
Franco Chiaraluce,6
Peter W. Sanders,8
Kilnam Chon,8
Bobby Vandalore,24
Sonia Fahmy,37
Raj Jain,72
Rohit Goyal,37
Mukul Goyal,3
Srinivasan Keshav,9
Wanlei Zhou,9
Richard Hofmann,5
Wen-Shenq Juang,3
Chin-Laung Lei,8
Fred Piper,8
Peter Steenkiste,10
Ibrahim W. Habib,12
Junbiao Zhang,3
Zsehong Tsai,11
Ahmed E. Kamal,22
Salvatore Casale,13
Ahmed N. Tantawy,8
Chatschik Bisdikian,21
Winston Khoon Guan Seah,4
Liren Zhang,8
Allen Roginsky,10
P. Sreenivasa Kumar,8
Sead Muftic,7
Daniela Panno,10
A. K. Bandyopadhyay,3
Gunnar Karlsson,5
Tomaz Klobucar,4
Wenge Ren,3
Kai-Yeung Siu,30
Hiroshi Suzuki,20
Gopalakrishnan Ramamurthy,15
Samir Chatterjee,6
Wei Kuang Lai,8
S. C. Chang,4
C. K. Un,20
Byung-Choel Shin,4
Vijay Varadharajan,16
Peter Sjödin,4
S. V. Raghavan,17
George I. Stassinopoulos,11
Yookun Cho,5
Hyunsoo Yoon,31
Hossam S. Hassanein,8
Jeremiah F. Hayes,15
G. C. Pentzaropoulos,4
Paula M. C. Swatman,20
Jean-Lien C. Wu,15
Tien-Yu Huang,7
Rita Puzmanova,3
Shyan-Ming Yuan,22
Yanghee Choi,7
Wilson Ang,4
Kelvin Sung,6
Akkihebbal L. Ananda,7
Eng-Kiat Koh,3
D. Saha,3
Micah Beck,8
Henri Casanova,7
Jack J. Dongarra,71
Terry Moore,3
James S. Plank,10
Francine Berman,9
Richard Wolski,10
Z. Li,5
Jonathan C. L. Liu,8
James A. Schnepf,5
Piet Van Mieghem,5
Charles E. Rohrs,5
Damjan Zazula,6
Rodger Lea,6
Jonathan Walpole,15
Elias Drakopoulos,4
Son T. Vuong,9
Myungchul Kim,3
Kwok-Yan Lam,20
Lucas Chi Kwong Hui,10
Sebastiano Trigila,3
Alvin P. Mullery,3
Jonathan Rosenberg,3
Peter T. Kirstein,14
Roberto C. de Oliveira,3
Patrick Sénac,4
Gianluca Cena,5
Michael Hitchens,3
Paul Ashley,3
David Hutchison,18
Jong-Hyeon Lee,3
Roberto Winkler,3
Salvatore Riccobene,6
Reuven Cohen,22
Chih-Ping Chu,6
Behçet Sarikaya,16
Lorcan Dempsey,10
Jukka Paakki,10
H. K. Pung,5
Jie Li 0002,8
Hisao Kameda,10
Hong-Yi Tzeng,9
Chu-Hsing Lin,13
Chin-Chen Chang 0001,106
Kaijun Tan,4
Hongwen Zhu,5
Ralf Guido Herrtwich,16
Tein-Hsiang Lin,7
Chunming Qiao,20
Krishna M. Sivalingam,14
Kalyani Bogineni,7
Patrick W. Dowd,18
W. Wilson Ho,6
Tzong-Chen Wu,26
Dominique Gaïti,4
Y. J. Cho,6
L. Chan,3
Kee Chaing Chua,11
Ali Elkateeb,4
Tho Le-Ngoc,28
Manfred Glesner,20
Jorge Santos 0002,6
Javier Orozco,6
J. Robert Ensor,3
Lorne Mason,9
Scott F. Midkiff,6
Jorge Arturo Cobb,6
Kerry Raymond,5
K. R. Subramanian,4
Vittorio Trecordi,9
Dimitris Gritzalis,10
Sokratis K. Katsikas,19
Stephen S. Yau,11
Doo-Hwan Bae,10
Julio Escobar,3
Yihong Long 0001,4
T. K. Ho,4
Ahmad B. Rad,14
John G. Markoulidakis,6
George L. Lyberopoulos,6
Guy Leduc,7
Wlodek Dobosiewicz,5
Pawel Gburzynski,12
Tai-Kuo Woo,10
Nada Golmie,7
Gerard R. Pieris,5
David H. Su,7
