source,target
Andrzej Cichocki,Hans Schuster
Dimitrios Georgakopoulos,Witold Litwin
Marek Rusinkiewicz,Witold Litwin
Dimitrios Georgakopoulos,Jack C. Wileden
Dimitrios Georgakopoulos,Alexander L. Wolf
Dimitrios Georgakopoulos,Stef Joosten
Dimitrios Georgakopoulos,Walt Scacchi
Amit P. Sheth,Marek Rusinkiewicz
Amit P. Sheth,Jack C. Wileden
Amit P. Sheth,Alexander L. Wolf
Amit P. Sheth,Stef Joosten
Amit P. Sheth,Walt Scacchi
Marek Rusinkiewicz,Jack C. Wileden
Marek Rusinkiewicz,Alexander L. Wolf
Marek Rusinkiewicz,Stef Joosten
Marek Rusinkiewicz,Walt Scacchi
Jack C. Wileden,Alexander L. Wolf
Jack C. Wileden,Stef Joosten
Jack C. Wileden,Walt Scacchi
Alexander L. Wolf,Stef Joosten
Alexander L. Wolf,Walt Scacchi
Stef Joosten,Walt Scacchi
Dimitrios Georgakopoulos,George Karabatis
Sandra Heiler,Wang-Chien Lee
Sandra Heiler,Gail Mitchell
Wang-Chien Lee,Gail Mitchell
Michael L. Brodie,Michael Stonebraker
Michael L. Brodie,David Beech
Michael L. Brodie,Michael J. Carey 0001
Michael L. Brodie,Philip A. Bernstein
Michael L. Brodie,Bruce G. Lindsay 0001
Michael L. Brodie,Lawrence A. Rowe
Michael L. Brodie,Jim Gray 0001
Michael Stonebraker,David Beech
Michael Stonebraker,Michael J. Carey 0001
Michael Stonebraker,Philip A. Bernstein
Michael Stonebraker,Bruce G. Lindsay 0001
Michael Stonebraker,Lawrence A. Rowe
Michael Stonebraker,Jim Gray 0001
David Beech,Michael J. Carey 0001
David Beech,Philip A. Bernstein
David Beech,Bruce G. Lindsay 0001
David Beech,Lawrence A. Rowe
David Beech,Jim Gray 0001
Michael J. Carey 0001,Philip A. Bernstein
Michael J. Carey 0001,Bruce G. Lindsay 0001
Michael J. Carey 0001,Lawrence A. Rowe
Michael J. Carey 0001,Jim Gray 0001
Philip A. Bernstein,Bruce G. Lindsay 0001
Philip A. Bernstein,Lawrence A. Rowe
Philip A. Bernstein,Jim Gray 0001
Bruce G. Lindsay 0001,Lawrence A. Rowe
Bruce G. Lindsay 0001,Jim Gray 0001
Lawrence A. Rowe,Jim Gray 0001
Michael L. Brodie,Stefano Ceri
Michael L. Brodie,Joseph M. Hellerstein
Michael L. Brodie,David J. DeWitt
Michael L. Brodie,Hector Garcia-Molina
Michael L. Brodie,H. V. Jagadish
Michael L. Brodie,Michael J. Franklin
Michael L. Brodie,David Maier 0001
Michael L. Brodie,Jeffrey F. Naughton
Michael L. Brodie,Jeffrey D. Ullman
Michael L. Brodie,Hamid Pirahesh
Michael L. Brodie,Michael Lesk
Michael Stonebraker,Stefano Ceri
Michael Stonebraker,Joseph M. Hellerstein
Michael Stonebraker,David J. DeWitt
Michael Stonebraker,Hector Garcia-Molina
Michael Stonebraker,H. V. Jagadish
Michael Stonebraker,Michael J. Franklin
Michael Stonebraker,David Maier 0001
Michael Stonebraker,Jeffrey F. Naughton
Michael Stonebraker,Jeffrey D. Ullman
Michael Stonebraker,Hamid Pirahesh
Michael Stonebraker,Michael Lesk
Stefano Ceri,Joseph M. Hellerstein
Stefano Ceri,David J. DeWitt
Stefano Ceri,Hector Garcia-Molina
Stefano Ceri,H. V. Jagadish
Stefano Ceri,Michael J. Franklin
Stefano Ceri,David Maier 0001
Stefano Ceri,Philip A. Bernstein
Stefano Ceri,Jeffrey F. Naughton
Stefano Ceri,Jeffrey D. Ullman
Stefano Ceri,Jim Gray 0001
Stefano Ceri,Hamid Pirahesh
Stefano Ceri,Michael Lesk
Joseph M. Hellerstein,David J. DeWitt
Joseph M. Hellerstein,Hector Garcia-Molina
Joseph M. Hellerstein,H. V. Jagadish
Joseph M. Hellerstein,Michael J. Franklin
Joseph M. Hellerstein,David Maier 0001
Joseph M. Hellerstein,Philip A. Bernstein
Joseph M. Hellerstein,Jeffrey F. Naughton
Joseph M. Hellerstein,Jeffrey D. Ullman
Joseph M. Hellerstein,Jim Gray 0001
Joseph M. Hellerstein,Hamid Pirahesh
Joseph M. Hellerstein,Michael Lesk
David J. DeWitt,Hector Garcia-Molina
David J. DeWitt,H. V. Jagadish
David J. DeWitt,Michael J. Franklin
David J. DeWitt,David Maier 0001
David J. DeWitt,Philip A. Bernstein
David J. DeWitt,Jeffrey F. Naughton
David J. DeWitt,Jeffrey D. Ullman
David J. DeWitt,Jim Gray 0001
David J. DeWitt,Hamid Pirahesh
David J. DeWitt,Michael Lesk
Hector Garcia-Molina,H. V. Jagadish
Hector Garcia-Molina,Michael J. Franklin
Hector Garcia-Molina,David Maier 0001
Hector Garcia-Molina,Philip A. Bernstein
Hector Garcia-Molina,Jeffrey F. Naughton
Hector Garcia-Molina,Jeffrey D. Ullman
Hector Garcia-Molina,Jim Gray 0001
Hector Garcia-Molina,Hamid Pirahesh
Hector Garcia-Molina,Michael Lesk
H. V. Jagadish,Michael J. Franklin
H. V. Jagadish,David Maier 0001
H. V. Jagadish,Philip A. Bernstein
H. V. Jagadish,Jeffrey F. Naughton
H. V. Jagadish,Jeffrey D. Ullman
H. V. Jagadish,Jim Gray 0001
H. V. Jagadish,Hamid Pirahesh
H. V. Jagadish,Michael Lesk
Michael J. Franklin,David Maier 0001
Michael J. Franklin,Philip A. Bernstein
Michael J. Franklin,Jeffrey F. Naughton
Michael J. Franklin,Jeffrey D. Ullman
Michael J. Franklin,Jim Gray 0001
Michael J. Franklin,Hamid Pirahesh
Michael J. Franklin,Michael Lesk
David Maier 0001,Philip A. Bernstein
David Maier 0001,Jeffrey F. Naughton
David Maier 0001,Jeffrey D. Ullman
David Maier 0001,Jim Gray 0001
David Maier 0001,Hamid Pirahesh
David Maier 0001,Michael Lesk
Philip A. Bernstein,Jeffrey F. Naughton
Philip A. Bernstein,Jeffrey D. Ullman
Philip A. Bernstein,Hamid Pirahesh
Philip A. Bernstein,Michael Lesk
Jeffrey F. Naughton,Jeffrey D. Ullman
Jeffrey F. Naughton,Jim Gray 0001
Jeffrey F. Naughton,Hamid Pirahesh
Jeffrey F. Naughton,Michael Lesk
Jeffrey D. Ullman,Jim Gray 0001
Jeffrey D. Ullman,Hamid Pirahesh
Jeffrey D. Ullman,Michael Lesk
Jim Gray 0001,Hamid Pirahesh
Jim Gray 0001,Michael Lesk
Hamid Pirahesh,Michael Lesk
Michael L. Brodie,John Mylopoulos
Michael L. Brodie,Matthias Jarke
Michael L. Brodie,Mike P. Papazoglou
John Mylopoulos,Matthias Jarke
John Mylopoulos,Mike P. Papazoglou
Matthias Jarke,Mike P. Papazoglou
Michael Stonebraker,Wei Hong
Michael Stonebraker,Witold Litwin
Michael Stonebraker,Paul M. Aoki
Michael Stonebraker,Carl Staelin
Witold Litwin,Paul M. Aoki
Witold Litwin,Carl Staelin
Paul M. Aoki,Carl Staelin
Michael Stonebraker,David B. Lomet
Michael Stonebraker,Daniel Barbará
Michael Stonebraker,José A. Blakeley
David B. Lomet,Daniel Barbará
David B. Lomet,José A. Blakeley
Daniel Barbará,José A. Blakeley
Michael Stonebraker,Abraham Silberschatz
Abraham Silberschatz,Jeffrey D. Ullman
Michael Stonebraker,Virginia E. Ogle
Christoph Meinel,Christian Stangier
Christoph Meinel,Anna Slobodová
Christoph Meinel,Jochen Bern
Christoph Meinel,Jordan Gergov
Anna Slobodová,Jochen Bern
Anna Slobodová,Jordan Gergov
Jochen Bern,Jordan Gergov
Christoph Meinel,Fabio Somenzi
Christoph Meinel,Thorsten Theobald
Fabio Somenzi,Thorsten Theobald
Christoph Meinel,Gianpiero Cabodi
Christoph Meinel,Stefano Quer
Christoph Meinel,Harald Sack
Christian Stangier,Anna Slobodová
Christian Stangier,Gianpiero Cabodi
Christian Stangier,Stefano Quer
Christian Stangier,Harald Sack
Anna Slobodová,Gianpiero Cabodi
Anna Slobodová,Stefano Quer
Anna Slobodová,Harald Sack
Gianpiero Cabodi,Stefano Quer
Gianpiero Cabodi,Harald Sack
Stefano Quer,Harald Sack
Christoph Meinel,Elena Dubrova
Harald Sack,Elena Dubrova
Christoph Meinel,Carsten Damm
Christoph Meinel,Matthias Krause 0001
Christoph Meinel,Stephan Waack
Carsten Damm,Matthias Krause 0001
Carsten Damm,Stephan Waack
Matthias Krause 0001,Stephan Waack
Christoph Meinel,Ulrich Hertrampf
Christoph Meinel,Gerhard Buntrock
Carsten Damm,Ulrich Hertrampf
Carsten Damm,Gerhard Buntrock
Ulrich Hertrampf,Gerhard Buntrock
Christoph Meinel,Lothar Budach
Christoph Meinel,Steffen Zahn
Christoph Meinel,Peter Zienicke
Lothar Budach,Steffen Zahn
Lothar Budach,Peter Zienicke
Steffen Zahn,Peter Zienicke
Christoph Meinel,Juraj Hromkovic
Matthias Krause 0001,Juraj Hromkovic
Stephan Waack,Juraj Hromkovic
Christoph Meinel,Michel Morvan
Christoph Meinel,Daniel Krob
Michel Morvan,Daniel Krob
Christian Stangier,Ulrich Holtmann
Christoph W. Keßler,Helmut Seidl
Christoph W. Keßler,Beniamino Di Martino
Christoph W. Keßler,Thomas Rauber
Christoph W. Keßler,Jesper Larsson Träff
Nguyen V. Thoai,Reiner Horst
Nguyen V. Thoai,M. Nast
Reiner Horst,M. Nast
Nguyen V. Thoai,Harold P. Benson
Reiner Horst,Harold P. Benson
Nguyen V. Thoai,Marco Locatelli
Nguyen V. Thoai,Thai Quynh Phong
Reiner Horst,Thai Quynh Phong
Anna Slobodová,Juraj Hromkovic
Anna Slobodová,Branislav Rovan
Juraj Hromkovic,Branislav Rovan
Anna Slobodová,Juhani Karhumäki
Juraj Hromkovic,Juhani Karhumäki
Juhani Karhumäki,Branislav Rovan
Anna Slobodová,Klaus W. Wagner
Anna Slobodová,Katsushi Inoue
Anna Slobodová,Itsuo Takanami
Klaus W. Wagner,Juraj Hromkovic
Klaus W. Wagner,Katsushi Inoue
Klaus W. Wagner,Itsuo Takanami
Klaus W. Wagner,Branislav Rovan
Juraj Hromkovic,Katsushi Inoue
Juraj Hromkovic,Itsuo Takanami
Katsushi Inoue,Itsuo Takanami
Katsushi Inoue,Branislav Rovan
Itsuo Takanami,Branislav Rovan
Klaus Jansen,Thomas Erlebach
Klaus Jansen,Petra Scheffler
Klaus Jansen,Gerhard J. Woeginger
Petra Scheffler,Gerhard J. Woeginger
Klaus Jansen,Hans L. Bodlaender
Gerhard J. Woeginger,Hans L. Bodlaender
Klaus Jansen,Marek Karpinski
Klaus Jansen,Andrzej Lingas
Marek Karpinski,Andrzej Lingas
Klaus Jansen,Haiko Müller
Klaus Jansen,Christos Kaklamanis
Klaus Jansen,Pino Persiano
Klaus Jansen,Milena Mihail
Thomas Erlebach,Christos Kaklamanis
Thomas Erlebach,Pino Persiano
Thomas Erlebach,Milena Mihail
Christos Kaklamanis,Pino Persiano
Christos Kaklamanis,Milena Mihail
Pino Persiano,Milena Mihail
Klaus Jansen,Sabine R. Öhring
Klaus Jansen,Zhongliang Yu
Gerhard J. Woeginger,Zhongliang Yu
Klaus Jansen,Jitender S. Deogun
Klaus Jansen,Dieter Kratsch
