source,target
Oded Goldreich 0001,Nathan Linial
Shafi Goldwasser,Nathan Linial
Oded Goldreich 0001,Liuba Shrira
Oded Goldreich 0001,Ronald L. Rivest
Oded Goldreich 0001,Michael Ben-Or
Silvio Micali,Ronald L. Rivest
Silvio Micali,Michael Ben-Or
Ronald L. Rivest,Michael Ben-Or
Shafi Goldwasser,Mihir Bellare
Oded Goldreich 0001,Shimon Even
Silvio Micali,Shimon Even
Shafi Goldwasser,Eric Lehman
Shafi Goldwasser,Alex Samorodnitsky
Oded Goldreich 0001,Birgit Pfitzmann
Ronald L. Rivest,Birgit Pfitzmann
Oded Goldreich 0001,Noga Alon
Oded Goldreich 0001,René Peralta
Johan Håstad,Noga Alon
Johan Håstad,René Peralta
Noga Alon,René Peralta
Shafi Goldwasser,Joe Kilian
Shafi Goldwasser,Uriel Feige
Shafi Goldwasser,Mario Szegedy
Shafi Goldwasser,Shmuel Safra
Shafi Goldwasser,László Lovász
Uriel Feige,Mario Szegedy
Uriel Feige,Shmuel Safra
Uriel Feige,László Lovász
Mario Szegedy,Shmuel Safra
Mario Szegedy,László Lovász
Shmuel Safra,László Lovász
Shafi Goldwasser,Johan Håstad
Shafi Goldwasser,William Aiello
Johan Håstad,William Aiello
Silvio Micali,Mihir Bellare
Silvio Micali,Rafail Ostrovsky
Silvio Micali,Joe Kilian
Silvio Micali,Eyal Kushilevitz
Rafail Ostrovsky,Joe Kilian
Joe Kilian,Eyal Kushilevitz
Silvio Micali,Alfredo De Santis
Silvio Micali,Giuseppe Persiano
Silvio Micali,Manuel Blum 0001
Alfredo De Santis,Manuel Blum 0001
Giuseppe Persiano,Manuel Blum 0001
Silvio Micali,Charles Rackoff
Silvio Micali,Michael J. Fischer
Charles Rackoff,Michael J. Fischer
Silvio Micali,Claus-Peter Schnorr
Silvio Micali,Shai Halevi
Prahladh Harsha,Madhu Sudan
Prahladh Harsha,Kamala Krithivasan
Madhu Sudan,Luca Trevisan
Luca Trevisan,Sanjeev Khanna
Madhu Sudan,David P. Williamson
Sanjeev Khanna,David P. Williamson
Madhu Sudan,Johan Håstad
Madhu Sudan,Venkatesan Guruswami
Johan Håstad,Venkatesan Guruswami
Luca Trevisan,Venkatesan Guruswami
Madhu Sudan,Salil P. Vadhan
Luca Trevisan,Salil P. Vadhan
Madhu Sudan,Yonatan Aumann
Madhu Sudan,Michael O. Rabin
Johan Håstad,Yonatan Aumann
Johan Håstad,Michael O. Rabin
Yonatan Aumann,Michael O. Rabin
Madhu Sudan,Don Coppersmith
Madhu Sudan,Amotz Bar-Noy
Madhu Sudan,Baruch Schieber
Madhu Sudan,Alok Aggarwal
Madhu Sudan,Rajiv Ramaswami
Don Coppersmith,Amotz Bar-Noy
Don Coppersmith,Rajiv Ramaswami
Amotz Bar-Noy,Alok Aggarwal
Amotz Bar-Noy,Rajiv Ramaswami
Baruch Schieber,Rajiv Ramaswami
Alok Aggarwal,Rajiv Ramaswami
Madhu Sudan,Jonathan R. M. Hosking
Madhu Sudan,Edwin P. D. Pednault
Jonathan R. M. Hosking,Edwin P. D. Pednault
Madhu Sudan,Richard J. Lipton
Ronitt Rubinfeld,Richard J. Lipton
Luca Trevisan,David P. Williamson
Madhu Sudan,Gregory B. Sorkin
Luca Trevisan,Gregory B. Sorkin
David P. Williamson,Gregory B. Sorkin
Madhu Sudan,Alain J. Mayer
Alain J. Mayer,Amotz Bar-Noy
Alain J. Mayer,Baruch Schieber
Madhu Sudan,Peter Gemmell
Madhu Sudan,Michael Luby
Madhu Sudan,Jeff Edmonds
Madhu Sudan,Johannes Blömer
Michael Luby,Jeff Edmonds
Michael Luby,Johannes Blömer
Jeff Edmonds,Johannes Blömer
Madhu Sudan,Marcos A. Kiwi
Johan Håstad,Mihir Bellare
Johan Håstad,Marcos A. Kiwi
Johan Håstad,Don Coppersmith
Mihir Bellare,Marcos A. Kiwi
Mihir Bellare,Don Coppersmith
Marcos A. Kiwi,Don Coppersmith
Madhu Sudan,Arvind Raghunathan
Madhu Sudan,Marshall W. Bern
Arvind Raghunathan,Marshall W. Bern
Madhu Sudan,Joseph Naor
Madhu Sudan,Guy Even
Joseph Naor,Guy Even
Joseph Naor,Baruch Schieber
Guy Even,Baruch Schieber
Madhu Sudan,William R. Pulleyblank
Madhu Sudan,Prabhakar Raghavan
Madhu Sudan,Avrim Blum
Madhu Sudan,Prasad Chalasani
William R. Pulleyblank,Prabhakar Raghavan
William R. Pulleyblank,Don Coppersmith
William R. Pulleyblank,Avrim Blum
William R. Pulleyblank,Prasad Chalasani
Prabhakar Raghavan,Don Coppersmith
Prabhakar Raghavan,Avrim Blum
Prabhakar Raghavan,Prasad Chalasani
Don Coppersmith,Avrim Blum
Don Coppersmith,Prasad Chalasani
Avrim Blum,Prasad Chalasani
Alexander A. Razborov,Steven Rudich
Alexander A. Razborov,Nikolai K. Vereshchagin
Alexander A. Razborov,Mike Paterson
Alexander A. Razborov,Johan Håstad
Alexander A. Razborov,Andrew Chi-Chih Yao
Johan Håstad,Andrew Chi-Chih Yao
Alexander A. Razborov,Mikael Goldmann
Johan Håstad,Mikael Goldmann
Alexander A. Razborov,Roman Smolensky
Alexander A. Razborov,Allan Borodin
Roman Smolensky,Allan Borodin
Alexander A. Razborov,Dima Grigoriev
Steven Rudich,Lane A. Hemachandra
Steven Rudich,Avrim Blum
Steven Rudich,Shlomo Moran
Steven Rudich,Gadi Taubenfeld
Steven Rudich,Michael J. Fischer
Shlomo Moran,Gadi Taubenfeld
Shlomo Moran,Michael J. Fischer
Gadi Taubenfeld,Michael J. Fischer
Steven Rudich,James Aspnes
Steven Rudich,Merrick L. Furst
Richard Beigel,James Aspnes
Richard Beigel,Merrick L. Furst
James Aspnes,Merrick L. Furst
Steven Rudich,Sampath Kannan
Sampath Kannan,Moni Naor
Wolfgang Maass 0001,Berthold Ruf
Wolfgang Maass 0001,Manfred K. Warmuth
Peter Auer,Manfred K. Warmuth
Wolfgang Maass 0001,Michael Schmitt 0001
Wolfgang Maass 0001,Pekka Orponen
Wolfgang Maass 0001,Eduardo D. Sontag
Wolfgang Maass 0001,David P. Dobkin
Wolfgang Maass 0001,Dimitrios Gunopulos
David P. Dobkin,Dimitrios Gunopulos
Wolfgang Maass 0001,Anthony M. Zador
Wolfgang Maass 0001,Thomas Natschläger
Wolfgang Maass 0001,Zhixiang Chen
Wolfgang Maass 0001,György Turán
Wolfgang Maass 0001,Theodore A. Slaman
Wolfgang Maass 0001,Mario Szegedy
Wolfgang Maass 0001,Pavel Pudlák
Wolfgang Maass 0001,András Hajnal
Mario Szegedy,György Turán
Mario Szegedy,Pavel Pudlák
Mario Szegedy,András Hajnal
György Turán,Pavel Pudlák
György Turán,András Hajnal
Pavel Pudlák,András Hajnal
Wolfgang Maass 0001,Martin Dietzfelbinger
Wolfgang Maass 0001,Georg Schnitger
Martin Dietzfelbinger,Georg Schnitger
Wolfgang Maass 0001,Endre Szemerédi
György Turán,Georg Schnitger
György Turán,Endre Szemerédi
Georg Schnitger,Endre Szemerédi
Berthold Ruf,Thomas Natschläger
Berthold Ruf,Michael Schmitt 0001
Uri Zwick,Mike Paterson
Uri Zwick,Noga Alon
Uri Zwick,Raphael Yuster
Noga Alon,Raphael Yuster
Uri Zwick,Dorit Dor
Uri Zwick,Shay Halperin
Dorit Dor,Shay Halperin
Uri Zwick,Amir M. Ben-Amram
Uri Zwick,Ashwin Nayak
Uri Zwick,Alistair Sinclair
Ashwin Nayak,Alistair Sinclair
Uri Zwick,Ramesh Hariharan
Uri Zwick,Richard Cole 0001
Mike Paterson,Ramesh Hariharan
Mike Paterson,Richard Cole 0001
Ramesh Hariharan,Richard Cole 0001
Uri Zwick,Moshe Dubiner
Uri Zwick,David B. A. Epstein
Mike Paterson,Anna Gál
Mike Paterson,Amos Beimel
Anna Gál,Amos Beimel
Mike Paterson,Aravind Srinivasan
Mike Paterson,Philip D. MacKenzie
Mike Paterson,Leslie Ann Goldberg
Aravind Srinivasan,Philip D. MacKenzie
Aravind Srinivasan,Leslie Ann Goldberg
Philip D. MacKenzie,Leslie Ann Goldberg
Mike Paterson,Peter Bro Miltersen
Mike Paterson,Jun Tarui
Peter Bro Miltersen,Jun Tarui
Mike Paterson,Michael J. Fischer
Mike Paterson,F. Frances Yao
Mike Paterson,Mikkel Thorup
Mike Paterson,Martin Farach
Mike Paterson,Richa Agarwala
Mike Paterson,Vineet Bafna
Mikkel Thorup,Martin Farach
Mikkel Thorup,Richa Agarwala
Mikkel Thorup,Vineet Bafna
Martin Farach,Richa Agarwala
Martin Farach,Vineet Bafna
Richa Agarwala,Vineet Bafna
Mike Paterson,Hirotaka Koizumi
Mike Paterson,Akira Maruoka
Hirotaka Koizumi,Akira Maruoka
Mike Paterson,Heiko Schröder
Mike Paterson,Ondrej Sýkora
Mike Paterson,Imrich Vrto
Heiko Schröder,Ondrej Sýkora
Heiko Schröder,Imrich Vrto
Ondrej Sýkora,Imrich Vrto
Mike Paterson,Alan Gibbons
Mike Paterson,William F. McColl
Mike Paterson,David Eppstein
David Eppstein,F. Frances Yao
Mike Paterson,Alain P. Hiltgen
Mike Paterson,Clyde L. Monma
Mike Paterson,Subhash Suri
Clyde L. Monma,Subhash Suri
Clyde L. Monma,F. Frances Yao
Subhash Suri,F. Frances Yao
Mike Paterson,Teresa M. Przytycka
Mike Paterson,Vlado Dancík
Russell Impagliazzo,Johan Håstad
Russell Impagliazzo,Leonid A. Levin
Russell Impagliazzo,Michael Luby
Johan Håstad,Leonid A. Levin
Johan Håstad,Michael Luby
Leonid A. Levin,Michael Luby
Russell Impagliazzo,Andrea E. F. Clementi
Russell Impagliazzo,Tomoyuki Yamakami
Tomoyuki Yamakami,Stephen A. Cook
Russell Impagliazzo,Mihir Bellare
Russell Impagliazzo,Arvind Gupta
Beate Bollig,Martin Löbbing
Martin Sauerhoff,Martin Löbbing
Beate Bollig,Petr Savický
Beate Bollig,Martin Hühne
Petr Savický,Martin Hühne
Ingo Wegener,Ralph Werchner
Martin Sauerhoff,Ralph Werchner
Ingo Wegener,Ryuhei Uehara
Ingo Wegener,Kensei Tsuchida
Ryuhei Uehara,Kensei Tsuchida
Ingo Wegener,Johan Håstad
Ingo Wegener,Paul Fischer
Ingo Wegener,Norbert Klasner
Paul Fischer,Norbert Klasner
Ingo Wegener,Ian Parberry
Ingo Wegener,Lutz Prechelt
Ingo Wegener,Jürg Nievergelt
Lutz Prechelt,Jürg Nievergelt
Petr Savický,Stanislav Zák
Petr Savický,Pavel Pudlák
Petr Savický,Hanno Lefmann
Pavel Pudlák,Hanno Lefmann
Petr Savický,Jan Kratochvíl
Petr Savický,Zsolt Tuza
Jan Kratochvíl,Zsolt Tuza
Petr Savický,Katerina Hlavácková-Schindler
Petr Savický,Vera Kurková
Katerina Hlavácková-Schindler,Vera Kurková
Petr Savický,Alan R. Woods
Kenneth W. Regan,D. Sivakumar
Kenneth W. Regan,Jin-yi Cai
D. Sivakumar,Jin-yi Cai
Kenneth W. Regan,Martin Strauss 0001
Kenneth W. Regan,Harry Buhrman
Kenneth W. Regan,Dieter van Melkebeek
D. Sivakumar,Martin Strauss 0001
D. Sivakumar,Harry Buhrman
D. Sivakumar,Dieter van Melkebeek
Martin Strauss 0001,Harry Buhrman
Martin Strauss 0001,Dieter van Melkebeek
Harry Buhrman,Dieter van Melkebeek
Kenneth W. Regan,Arun K. Jagota
Kenneth W. Regan,Giri Narasimhan
Arun K. Jagota,Giri Narasimhan
Kenneth W. Regan,James S. Royer
Kenneth W. Regan,Ashish V. Naik
D. Sivakumar,Ashish V. Naik
Kenneth W. Regan,Rodney G. Downey
Kenneth W. Regan,Michael R. Fellows
Kenneth W. Regan,Jie Wang 0002
D. Sivakumar,Ravi Kumar 0001
Jin-yi Cai,Valentine Kabanets
Jin-yi Cai,Dexter Kozen
Jin-yi Cai,Alan L. Selman
Jin-yi Cai,Ajay Nerurkar
Jin-yi Cai,Sandeep N. Bhatt
Jin-yi Cai,Thomas Thierauf
Jin-yi Cai,Frederic Green
Jin-yi Cai,Lane A. Hemachandra
Jin-yi Cai,Yixin Zhu
Jin-yi Cai,Ashish V. Naik
Jin-yi Cai,Richard J. Lipton
Jin-yi Cai,Anne Condon
Richard J. Lipton,Anne Condon
Jin-yi Cai,Juris Hartmanis
Jin-yi Cai,Yechezkel Zalcstein
Richard J. Lipton,Yechezkel Zalcstein
Jin-yi Cai,Thomas W. Cusick
Jin-yi Cai,C. K. Wong
Jin-yi Cai,Neil Immerman
Jin-yi Cai,Martin Fürer
Neil Immerman,Martin Fürer
Jin-yi Cai,Merrick L. Furst
Jin-yi Cai,Suresh Chari
Ralph Werchner,Ernst W. Mayr
Ralph Werchner,Susanne Albers
Ralph Werchner,Bernhard von Stengel
Susanne Albers,Bernhard von Stengel
Ralph Werchner,Rolf Drechsler
Ralph Werchner,Bernd Becker 0001
Rolf Drechsler,Bernd Becker 0001
Luca Trevisan,Marco Cesati
Luca Trevisan,Pierluigi Crescenzi
Luca Trevisan,Viggo Kann
Luca Trevisan,Riccardo Silvestri
Viggo Kann,Pierluigi Crescenzi
Viggo Kann,Riccardo Silvestri
Pierluigi Crescenzi,Riccardo Silvestri
Luca Trevisan,Andrea E. F. Clementi
Luca Trevisan,Alexander E. Andreev
Luca Trevisan,José D. P. Rolim
Alexander E. Andreev,Andrea E. F. Clementi
Alexander E. Andreev,José D. P. Rolim
Andrea E. F. Clementi,José D. P. Rolim
Luca Trevisan,Rosario Gennaro
Luca Trevisan,Michele Boreale
Alexander E. Andreev,Paolo Penna
Andrea E. F. Clementi,Paolo Penna
José D. P. Rolim,Paolo Penna
Alexander E. Andreev,Pierluigi Crescenzi
Alexander E. Andreev,Elias Dahlhaus
Alexander E. Andreev,Sergio De Agostino
Andrea E. F. Clementi,Pierluigi Crescenzi
Andrea E. F. Clementi,Elias Dahlhaus
Andrea E. F. Clementi,Sergio De Agostino
José D. P. Rolim,Pierluigi Crescenzi
José D. P. Rolim,Elias Dahlhaus
José D. P. Rolim,Sergio De Agostino
Pierluigi Crescenzi,Elias Dahlhaus
Pierluigi Crescenzi,Sergio De Agostino
Elias Dahlhaus,Sergio De Agostino
Andrea E. F. Clementi,Riccardo Silvestri
Paolo Penna,Riccardo Silvestri
Andrea E. F. Clementi,Miriam Di Ianni
José D. P. Rolim,Juraj Hromkovic
José D. P. Rolim,Pavol Duris
José D. P. Rolim,Georg Schnitger
Juraj Hromkovic,Pavol Duris
Juraj Hromkovic,Georg Schnitger
Pavol Duris,Georg Schnitger
José D. P. Rolim,Afonso Ferreira
José D. P. Rolim,Pavel Tvrdík
José D. P. Rolim,Imrich Vrto
José D. P. Rolim,Jan Trdlicka
Pavel Tvrdík,Imrich Vrto
Pavel Tvrdík,Jan Trdlicka
Imrich Vrto,Jan Trdlicka
Marco Cesati,Miriam Di Ianni
Marco Cesati,Michael R. Fellows
Ulrich Faigle,Walter Kern
Ulrich Faigle,M. Streng
Walter Kern,M. Streng
Ulrich Faigle,Sándor P. Fekete
Ulrich Faigle,Winfried Hochstättler
Walter Kern,Sándor P. Fekete
Walter Kern,Winfried Hochstättler
Sándor P. Fekete,Winfried Hochstättler
Ulrich Faigle,Jeroen Kuipers
Walter Kern,Jeroen Kuipers
Ulrich Faigle,Péter L. Erdös
Walter Kern,Péter L. Erdös
Ulrich Faigle,Rainer E. Burkard
Ulrich Faigle,Boris Spieker
Walter Kern,Boris Spieker
Ulrich Faigle,Renate Garbe
Walter Kern,Renate Garbe
Ulrich Faigle,Alan J. Hoffman
Walter Kern,Alan J. Hoffman
Ulrich Faigle,E. Andrew Boyd
Ulrich Faigle,Annelie von Arnim
Ulrich Faigle,Rainer Schrader
Annelie von Arnim,Rainer Schrader
Ulrich Faigle,Kees Hoede
Ulrich Faigle,György Turán
György Turán,Rainer Schrader
Walter Kern,Martin Anthony
Walter Kern,John Shawe-Taylor
Martin Anthony,John Shawe-Taylor
Thomas Thierauf,Richard Beigel
Thomas Thierauf,Manindra Agrawal
Richard Beigel,Manindra Agrawal
Thomas Thierauf,Harry Buhrman
Thomas Thierauf,Jim Kadin
Harry Buhrman,Jim Kadin
Thomas Thierauf,Osamu Watanabe 0001
Thomas Thierauf,Seinosuke Toda
Mitsunori Ogihara,Osamu Watanabe 0001
Osamu Watanabe 0001,Seinosuke Toda
Thomas Thierauf,Johannes Köbler
Hans-Joachim Böckenhauer,Juraj Hromkovic
Hans-Joachim Böckenhauer,Ralf Klasing
Hans-Joachim Böckenhauer,Sebastian Seibert
Hans-Joachim Böckenhauer,Walter Unger
Juraj Hromkovic,Ralf Klasing
Juraj Hromkovic,Sebastian Seibert
Juraj Hromkovic,Walter Unger
Ralf Klasing,Sebastian Seibert
Ralf Klasing,Walter Unger
Sebastian Seibert,Walter Unger
Pavol Duris,Katsushi Inoue
Sebastian Seibert,Georg Schnitger
Sebastian Seibert,Juhani Karhumäki
Georg Schnitger,Juhani Karhumäki
Juraj Hromkovic,Jozef Kelemen
Juraj Hromkovic,Juraj Waczulík
Jozef Kelemen,Juraj Waczulík
Juraj Hromkovic,Elena Stöhr
Ralf Klasing,Elena Stöhr
Juraj Hromkovic,Václav Koubek
Juraj Hromkovic,Hubert Wagener
Juraj Hromkovic,Dana Pardubská
Ralf Klasing,Hubert Wagener
Ralf Klasing,Dana Pardubská
Walter Unger,Hubert Wagener
Walter Unger,Dana Pardubská
Hubert Wagener,Dana Pardubská
Ralf Klasing,Juraj Waczulík
Hubert Wagener,Juraj Waczulík
Juraj Waczulík,Dana Pardubská
Juraj Hromkovic,Alexander A. Sapozhenko
Juraj Hromkovic,Burkhard Monien
Juraj Hromkovic,Martin Dietzfelbinger
Juraj Hromkovic,Lila Kari
Juraj Hromkovic,Jarkko Kari
Lila Kari,Jarkko Kari
Juraj Hromkovic,Ondrej Sýkora
Juraj Hromkovic,Imrich Vrto
Hubert Wagener,Elena Stöhr
Lila Kari,Dana Pardubská
Jarkko Kari,Dana Pardubská
Juraj Hromkovic,Rainer Feldmann
Juraj Hromkovic,Peter Mysliwietz
Burkhard Monien,Rainer Feldmann
Burkhard Monien,Peter Mysliwietz
Rainer Feldmann,Peter Mysliwietz
Ralf Klasing,Burkhard Monien
Ralf Klasing,Ralf Heckmann
Walter Unger,Burkhard Monien
Walter Unger,Ralf Heckmann
Burkhard Monien,Ralf Heckmann
Ralf Klasing,Reinhard Lüling
Burkhard Monien,Reinhard Lüling
Burkhard Monien,Elena Stöhr
Sebastian Seibert,Antonio Restivo
Sebastian Seibert,Wolfgang Thomas
Sebastian Seibert,Dora Giammarresi
Antonio Restivo,Wolfgang Thomas
Antonio Restivo,Dora Giammarresi
Wolfgang Thomas,Dora Giammarresi
Walter Unger,Rainer Feldmann
Walter Unger,Yoshihide Igarashi
Walter Unger,Shingo Osawa
Yoshihide Igarashi,Shingo Osawa
Walter Unger,Gerd Wechsung
Walter Unger,Sergei L. Bezrukov
Gerd Wechsung,Sergei L. Bezrukov
Gerd Wechsung,Burkhard Monien
Sergei L. Bezrukov,Burkhard Monien
Rafail Ostrovsky,William Aiello
Eyal Kushilevitz,William Aiello
William Aiello,Adi Rosén
Rafail Ostrovsky,Shay Kutten
Rafail Ostrovsky,Boaz Patt-Shamir
Shay Kutten,Boaz Patt-Shamir
Rafail Ostrovsky,Yuval Rabani
Eyal Kushilevitz,Yuval Rabani
Rafail Ostrovsky,Shlomi Dolev
Rafail Ostrovsky,Moti Yung
Rafail Ostrovsky,Ramarathnam Venkatesan
Moni Naor,Moti Yung
Moni Naor,Ramarathnam Venkatesan
Moti Yung,Ramarathnam Venkatesan
Rafail Ostrovsky,Nathan Linial
Rafail Ostrovsky,Victor Shoup
Rafail Ostrovsky,Giovanni Di Crescenzo
Rafail Ostrovsky,Yuval Ishai
Giovanni Di Crescenzo,Yuval Ishai
Erez Petrank,Joe Kilian
Erez Petrank,Martin Dietzfelbinger
Erez Petrank,Peter Bro Miltersen
Erez Petrank,Noga Alon
Erez Petrank,Gábor Tardos
Martin Dietzfelbinger,Peter Bro Miltersen
Martin Dietzfelbinger,Noga Alon
Martin Dietzfelbinger,Gábor Tardos
Peter Bro Miltersen,Noga Alon
Peter Bro Miltersen,Gábor Tardos
Noga Alon,Gábor Tardos
Erez Petrank,Ron M. Roth
Erez Petrank,Charles Rackoff
Johan Håstad,Mats Näslund
Johan Håstad,Adi Shamir
Johan Håstad,Jianer Chen
Johan Håstad,Liming Cai
Jianer Chen,Liming Cai
Johan Håstad,Frank Thomson Leighton
Johan Håstad,Torben Hagerup
Johan Håstad,Arne Andersson
Johan Håstad,Ola Petersson
Torben Hagerup,Arne Andersson
Torben Hagerup,Ola Petersson
Arne Andersson,Ola Petersson
Johan Håstad,Shmuel Safra
Johan Håstad,Steven J. Phillips
Shmuel Safra,Steven J. Phillips
Mats Näslund,Alexander Russell
Tomoyuki Yamakami,Andrew Chi-Chih Yao
Tomoyuki Yamakami,Lance Fortnow
Tomoyuki Yamakami,Rainer Schuler
Toniann Pitassi,Samuel R. Buss
Toniann Pitassi,Alasdair Urquhart
Toniann Pitassi,Maria Luisa Bonet
Toniann Pitassi,Ran Raz
Maria Luisa Bonet,Ran Raz
Toniann Pitassi,Kazuo Iwama
Toniann Pitassi,R. K. Shyamasundar
Toniann Pitassi,K. T. Narayana
R. K. Shyamasundar,K. T. Narayana
Shiyu Zhou,Sanjeev Khanna
Shiyu Zhou,Alexander Barg
Nicola Galesi,Ricard Gavaldà
Nicola Galesi,Maria Luisa Bonet
Nicola Galesi,Jan Johannsen
Maria Luisa Bonet,Jan Johannsen
Nicola Galesi,Pavel Pudlák
Ricard Gavaldà,Nader H. Bshouty
Ricard Gavaldà,Christino Tamon
Ricard Gavaldà,Richard Cleve
Ricard Gavaldà,Sampath Kannan
Nader H. Bshouty,Christino Tamon
Nader H. Bshouty,Richard Cleve
Nader H. Bshouty,Sampath Kannan
Christino Tamon,Richard Cleve
Christino Tamon,Sampath Kannan
Richard Cleve,Sampath Kannan
Ricard Gavaldà,Hava T. Siegelmann
Ricard Gavaldà,Osamu Watanabe 0001
Ricard Gavaldà,José L. Balcázar
Ricard Gavaldà,Josep Díaz
Osamu Watanabe 0001,José L. Balcázar
Osamu Watanabe 0001,Josep Díaz
José L. Balcázar,Josep Díaz
Ricard Gavaldà,Gonzalo Navarro
Ricard Gavaldà,Ricardo A. Baeza-Yates
Gonzalo Navarro,Ricardo A. Baeza-Yates
Ricard Gavaldà,Joaquim Gabarró
Hava T. Siegelmann,José L. Balcázar
Ricard Gavaldà,Carlos Domingo
Osamu Watanabe 0001,Carlos Domingo
Wojciech Rytter,Juhani Karhumäki
Juhani Karhumäki,Wojciech Plandowski
Wojciech Rytter,Zvi Galil
Wojciech Rytter,Kunsoo Park
Zvi Galil,Maxime Crochemore
Zvi Galil,Kunsoo Park
Zvi Galil,Leszek Gasieniec
Maxime Crochemore,Kunsoo Park
Kunsoo Park,Leszek Gasieniec
Wojciech Rytter,S. Muthukrishnan
Wojciech Rytter,Ramesh Hariharan
Maxime Crochemore,S. Muthukrishnan
Maxime Crochemore,Ramesh Hariharan
S. Muthukrishnan,Leszek Gasieniec
S. Muthukrishnan,Ramesh Hariharan
Leszek Gasieniec,Ramesh Hariharan
Wojciech Rytter,Andrzej Lingas
Wojciech Rytter,Oscar Garrido
Andrzej Lingas,Oscar Garrido
Andrzej Lingas,Stefan Jarominek
Oscar Garrido,Stefan Jarominek
Wojciech Rytter,Ahmed Saoudi
Wojciech Rytter,Krzysztof Diks
Juhani Karhumäki,Stefan Jarominek
Wojciech Rytter,Burkhard Monien
Wojciech Rytter,Alan Gibbons
Wojciech Rytter,Marek Chrobak
Maxime Crochemore,Burkhard Monien
Ayumi Shinohara,Satoru Kuhara
Ayumi Shinohara,Satoru Miyano
Ayumi Shinohara,Takeshi Shinohara
Ayumi Shinohara,Setsuo Arikawa
Satoru Kuhara,Satoru Miyano
Satoru Kuhara,Takeshi Shinohara
Satoru Kuhara,Setsuo Arikawa
Satoru Miyano,Takeshi Shinohara
Satoru Miyano,Setsuo Arikawa
Takeshi Shinohara,Setsuo Arikawa
Ayumi Shinohara,Shinichi Shimozono
Shai Halevi,Assaf Schuster
Shai Halevi,Amir Ben-Dor
Assaf Schuster,Amir Ben-Dor
Shai Halevi,Hugo Krawczyk
Shai Halevi,Rosario Gennaro
Shai Halevi,Tal Rabin
Shai Halevi,Mihir Bellare
Shai Halevi,Amit Sahai
Shai Halevi,Salil P. Vadhan
Mihir Bellare,Amit Sahai
Mihir Bellare,Salil P. Vadhan
Sanjeev Arora,Shmuel Safra
Sanjeev Arora,Jacques Stern
Sanjeev Arora,László Babai
Sanjeev Arora,Z. Sweedyk
Jacques Stern,László Babai
Jacques Stern,Z. Sweedyk
László Babai,Z. Sweedyk
Sanjeev Arora,Frank Thomson Leighton
Sanjeev Arora,Bruce M. Maggs
Frank Thomson Leighton,Bruce M. Maggs
Sanjeev Arora,Ronald Fagin
Uriel Feige,Adi Shamir
Uriel Feige,Joe Kilian
Uriel Feige,Dror Lapidot
Adi Shamir,Dror Lapidot
Uriel Feige,Prabhakar Raghavan
Uriel Feige,Eli Upfal
Uriel Feige,David Peleg
Prabhakar Raghavan,David Peleg
Eli Upfal,David Peleg
Uriel Feige,Yonatan Aumann
Uriel Feige,Judit Bar-Ilan
Yonatan Aumann,Judit Bar-Ilan
Uriel Feige,Carsten Lund
Uriel Feige,Greg Barnes
Uriel Feige,Don Coppersmith
Uriel Feige,James B. Shearer
Don Coppersmith,James B. Shearer
Claus-Peter Schnorr,Carsten Rössner
Claus-Peter Schnorr,Harald Niederreiter
Claus-Peter Schnorr,Jacques Stern
Claus-Peter Schnorr,Brian A. LaMacchia
Claus-Peter Schnorr,Andrew M. Odlyzko
Claus-Peter Schnorr,Antoine Joux
Jacques Stern,Brian A. LaMacchia
Jacques Stern,Andrew M. Odlyzko
Jacques Stern,Antoine Joux
Brian A. LaMacchia,Andrew M. Odlyzko
Brian A. LaMacchia,Antoine Joux
Andrew M. Odlyzko,Antoine Joux
Claus-Peter Schnorr,Hendrik W. Lenstra Jr.
Claus-Peter Schnorr,J. C. Lagarias
Hendrik W. Lenstra Jr.,J. C. Lagarias
Martin Strauss 0001,Brian A. LaMacchia
Martin Strauss 0001,Yang-Hua Chu
Martin Strauss 0001,Joan Feigenbaum
Martin Strauss 0001,Paul Resnick
Brian A. LaMacchia,Yang-Hua Chu
Brian A. LaMacchia,Joan Feigenbaum
Brian A. LaMacchia,Paul Resnick
Yang-Hua Chu,Joan Feigenbaum
Yang-Hua Chu,Paul Resnick
Joan Feigenbaum,Paul Resnick
Martin Strauss 0001,Matt Blaze
Joan Feigenbaum,Matt Blaze
Paul Resnick,Matt Blaze
Vikraman Arvind,K. V. Subrahmanyam
Vikraman Arvind,N. V. Vinodchandran
K. V. Subrahmanyam,N. V. Vinodchandran
Vikraman Arvind,Jacobo Torán
Vikraman Arvind,Richard Beigel
Vikraman Arvind,Antoni Lozano
Richard Beigel,Antoni Lozano
Vikraman Arvind,Manindra Agrawal
Vikraman Arvind,Rainer Schuler
Vikraman Arvind,Uwe Schöning
Johannes Köbler,Rainer Schuler
Johannes Köbler,Uwe Schöning
Rainer Schuler,Uwe Schöning
Vikraman Arvind,Somenath Biswas
Johannes Köbler,Seinosuke Toda
Jacobo Torán,Uwe Schöning
Jacobo Torán,Seinosuke Toda
Uwe Schöning,Seinosuke Toda
Johannes Köbler,Osamu Watanabe 0001
Nader H. Bshouty,Jeffrey C. Jackson
Jeffrey C. Jackson,Christino Tamon
Nader H. Bshouty,Francesco Bergadano
Nader H. Bshouty,Stefano Varricchio
Christino Tamon,Francesco Bergadano
Christino Tamon,Stefano Varricchio
Francesco Bergadano,Stefano Varricchio
